CD_CLIENTE,CD_UNIDADE,CD_FAZENDA,CD_TALHAO,CD_ZONA,CULTURA,DATA_PLANTIO,DATA_COLHEITA,DELTA_TEMPO,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
281,1,1,2,1,soja,20221027,20230208,104,6,6y38,6y38d,6y38d5
221,61,16,231,8,soja,20231127,20240319,113,6,6v0c,6v0cw,6v0cwx
1019,261,64,37,1,soja,20231102,20240301,120,6,6yrp,6yrpp,6yrppj
374,42,1,29,9,soja,20251108,20260315,127,6,6yxr,6yxrq,6yxrq6
248,1,1,61,1,soja,20221025,20230308,134,6,6u0t,6u0te,6u0te5
1019,141,8,19,1,soja,20231011,20240205,117,6,6yqw,6yqwt,6yqwtt
52,1,84,709,1,soja,20221003,20230309,157,6,6v1b,6v1b2,6v1b2t
1019,521,500,1,1,soja,20251023,20260301,129,6,6vfk,6vfk6,6vfk6g
209,1,10,203,4,soja,20231105,20240305,121,6,6uu4,6uu4m,6uu4mn
221,63,23,21,3,soja,20231104,20240221,109,6,6v1g,6v1gz,6v1gzc
1019,161,18,124,2,soja,20240924,20250115,113,6,6vzs,6vzsc,6vzsc9
444,1,1,4,28,soja,20240102,20240518,137,6,6f4x,6f4xu,6f4xuv
1019,201,62,145,2,soja,20231002,20240112,102,6,6tx2,6tx28,6tx28b
52,1,17,87,3,soja,20221102,20230226,116,6,6v1b,6v1b0,6v1b01
232,1,3,3,5,soja,20211023,20220215,115,6,6tzz,6tzzk,6tzzks
425,1,1,9,1,soja,20240103,20240427,115,7,7n81,7n81d,7n81dk
52,1,15,427,3,soja,20221105,20230314,129,6,6ucx,6ucxx,6ucxxx
281,1,1,3,1,soja,20221021,20230210,112,6,6y38,6y38d,6y38dd
1019,181,44,36,1,soja,20231101,20240228,119,6,6vfe,6vfer,6vferz
278,1,18,4,2,soja,20220922,20230125,125,6,6y7s,6y7sq,6y7sqz
483,1,1,12,1,soja,20241006,20250107,93,6,6twq,6twq6,6twq61
327,1,402,44,1,soja,20221014,20230204,113,6,6vrt,6vrtg,6vrtgp
10,1,1,73,1,soja,20241103,20250403,151,6,6tqt,6tqt2,6tqt2w
179,1,1,13,1,soja,20201120,20210321,121,7,7n84,7n846,7n846x
15,1,1,3,9,soja,20241105,20250308,123,6,6vx7,6vx7h,6vx7hx
42,1,1102,113,1,soja,20221201,20230311,100,6,6yx8,6yx8k,6yx8kr
1019,201,62,81,1,soja,20231011,20240115,96,6,6trp,6trpw,6trpws
239,1,1,43,3,soja,20211028,20220224,119,6,6y11,6y11w,6y11w4
52,1,16,436,2,soja,20201106,20210315,129,6,6ucx,6ucxz,6ucxzw
282,1,1,160,2,soja,20221001,20230216,138,6,6vn6,6vn6b,6vn6bs
239,41,2,2,1,soja,20221010,20230124,106,6,6y02,6y02y,6y02yd
175,62,2,76,4,soja,20211201,20220312,101,6,6yk9,6yk9s,6yk9s1
52,1,114,5679,2,soja,20211103,20220323,140,6,6ucz,6uczj,6uczj2
547,1,10,1001,1,soja,20260105,20260507,122,6,6g6y,6g6yx,6g6yxv
436,83,6,92,1,soja,20251112,20260215,95,6,6vzm,6vzm3,6vzm30
327,41,401,9,1,soja,20231116,20240306,111,6,6yrf,6yrft,6yrfts
52,1,100,4906,2,soja,20201118,20210403,136,6,6ucx,6ucxw,6ucxws
184,1,1,19,1,soja,20201211,20210405,115,6,6yx9,6yx9w,6yx9wt
232,1,2,6,11,soja,20211023,20220215,115,6,6vbj,6vbjd,6vbjdy
1019,421,74,177,1,soja,20231005,20240116,103,6,6tqz,6tqzq,6tqzq2
278,1,18,8,12,soja,20231103,20240306,124,6,6y7u,6y7u1,6y7u1t
1022,1,5,50011,50011,soja,20221108,20230326,138,6,6vrs,6vrsh,6vrsh3
52,1,13,79,3,soja,20211025,20220223,121,6,6ucx,6ucxp,6ucxps
221,41,25,92,25,soja,20231120,20240326,127,6,6u07,6u07s,6u07s9
39,1,15,1,9,soja,20210106,20210512,126,6,6dxh,6dxhk,6dxhku
1019,261,64,45,1,soja,20231205,20240312,98,6,6yrn,6yrnz,6yrnz4
30,41,2,26,1,soja,20201202,20210316,104,6,6yx8,6yx84,6yx84r
393,42,3,6,1,soja,20231001,20240102,93,6,6twg,6twg2,6twg27
327,41,401,2,4,soja,20231226,20240417,113,6,6yrf,6yrf7,6yrf7p
483,1,1,11,2,soja,20241013,20250206,116,6,6twq,6twq6,6twq60
284,81,6,10,2,soja,20221121,20230426,156,7,7h0w,7h0wc,7h0wcj
1019,341,23,18,1,soja,20231104,20240313,130,6,6yrs,6yrs6,6yrs6t
1019,421,74,167,1,soja,20231007,20231229,83,6,6tqz,6tqzm,6tqzm9
275,1,100,23,4,soja,20251014,20260227,136,6,6ugs,6ugsu,6ugsu9
240,1,1,4,2,soja,20220112,20220505,113,7,7nb3,7nb3m,7nb3m0
27,1,1,38,5,soja,20201109,20210328,139,6,6vzt,6vztg,6vztg5
175,1,1,39,1,soja,20231104,20240305,122,6,6ym3,6ym3c,6ym3cg
238,61,1,136,4,soja,20211115,20220322,127,6,6trt,6trt8,6trt8s
1019,101,6,40,1,soja,20231030,20240126,88,6,6uf1,6uf1n,6uf1nd
52,1,62,633,4,soja,20201111,20210318,127,6,6ucz,6ucz6,6ucz6t
42,1,1102,137,1,soja,20231223,20240415,114,6,6yxb,6yxb2,6yxb2b
1019,543,11,1320,2,soja,20251103,20260402,150,6,6yhp,6yhpu,6yhpud
444,1,1,9,26,soja,20231201,20240425,146,6,6f4x,6f4xg,6f4xg3
27,1,1,21,3,soja,20201125,20210418,144,6,6vzt,6vztr,6vztrj
27,1,1,21,3,soja,20201125,20210418,144,6,6vzt,6vztr,6vztrj
352,1,2,40,2,soja,20221202,20230501,150,7,7h0x,7h0xj,7h0xj2
36,1,1,45,3,soja,20201021,20210206,108,6,6v85,6v85e,6v85e7
1019,261,64,46,1,soja,20231110,20240309,120,6,6yrn,6yrny,6yrnyt
1019,221,39,204,1,soja,20241030,20250226,119,6,6tzy,6tzy0,6tzy0m
221,62,21,1,1,soja,20231110,20240330,141,6,6u95,6u955,6u955m
267,1,1,28,4,soja,20221021,20230211,113,6,6tw4,6tw4q,6tw4qb
221,1,5,45,10,soja,20231101,20240301,121,6,6u02,6u02y,6u02y6
221,1,5,45,10,soja,20231101,20240301,121,6,6u02,6u02y,6u02y6
392,61,20,6,1,soja,20250919,20260211,145,6,6gsm,6gsms,6gsmst
1019,421,74,104,1,soja,20231012,20240214,125,6,6tqz,6tqzs,6tqzs3
36,1,1,2,3,soja,20201027,20210225,121,6,6v8h,6v8hh,6v8hhh
1019,181,44,7,1,soja,20231025,20240209,107,6,6vfe,6vfen,6vfenr
232,1,2,3,8,soja,20211017,20220308,142,6,6vbj,6vbju,6vbjud
52,1,104,4514,1,soja,20201104,20210317,133,6,6v1c,6v1c2,6v1c2k
327,1,402,45,1,soja,20221002,20230125,115,6,6vrw,6vrww,6vrww5
360,1,871802,86,1683402,soja,20231122,20240315,114,6,6y21,6y21b,6y21bp
315,1,1,4,21,soja,20241016,20250210,117,6,6vep,6vepc,6vepcw
1019,543,11,315,2,soja,20251104,20260401,148,6,6yk0,6yk0h,6yk0hs
1019,301,10,20,1,soja,20231117,20240402,137,6,6vx5,6vx5w,6vx5wd
240,1,1,23,1,soja,20220102,20220425,113,7,7nb3,7nb3t,7nb3t6
