CD_CLIENTE,CD_UNIDADE,CD_FAZENDA,CD_TALHAO,data_plantio,cultura,desc_operac,data_colheita,cultura_colheita,delta_tempo,semana_plantio,ciclo_max,ciclo_min,ciclo_valido,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local,el_nino
49,1,1,12,2019-09-12,soja,PLANTIO SOJA,2020-02-05,soja,146.0,37,150,70,True,6,6vfd,6vfdx,6vfdxt,0
49,1,1,86,2019-10-02,soja,PLANTIO SOJA,2020-02-13,soja,134.0,40,150,70,True,6,6vff,6vffg,6vffgr,0
49,1,1,86,2019-10-09,soja,PLANTIO SOJA,2020-02-13,soja,127.0,41,150,70,True,6,6vff,6vffg,6vffgr,0
49,1,1,80,2019-10-09,soja,PLANTIO SOJA,2020-02-15,soja,129.0,41,150,70,True,6,6vfg,6vfg5,6vfg50,0
49,1,1,98,2019-10-12,soja,PLANTIO SOJA,2019-12-23,soja,72.0,41,150,70,True,6,6vff,6vffg,6vffgj,0
49,1,1,11,2019-10-14,soja,PLANTIO SOJA,2020-02-06,soja,115.0,42,150,70,True,6,6vfd,6vfdx,6vfdx2,0
49,1,1,12,2019-10-14,soja,PLANTIO SOJA,2020-02-05,soja,114.0,42,150,70,True,6,6vfd,6vfdx,6vfdxt,0
49,1,1,91,2019-10-15,soja,PLANTIO SOJA,2020-02-24,soja,132.0,42,150,70,True,6,6vfc,6vfcu,6vfcuz,0
49,1,1,88,2019-10-16,soja,PLANTIO SOJA,2020-02-17,soja,124.0,42,150,70,True,6,6vff,6vffg,6vffge,0
49,1,1,84,2019-10-16,soja,PLANTIO SOJA,2020-02-10,soja,117.0,42,150,70,True,6,6vff,6vffe,6vffef,0
49,1,1,83,2019-10-16,soja,PLANTIO SOJA,2020-02-08,soja,115.0,42,150,70,True,6,6vff,6vfff,6vfffv,0
49,1,1,5,2019-10-18,soja,PLANTIO SOJA,2020-02-21,soja,126.0,42,150,70,True,6,6vff,6vff7,6vff7w,0
49,1,1,3,2019-10-18,soja,PLANTIO SOJA,2020-02-18,soja,123.0,42,150,70,True,6,6vff,6vff7,6vff7v,0
51,1,5,1,2019-10-19,soja,PLANTIO DE SOJA,2020-03-16,soja,149.0,42,150,70,True,6,6vzh,6vzhe,6vzheu,0
49,1,1,4,2019-10-19,soja,PLANTIO SOJA,2020-02-19,soja,123.0,42,150,70,True,6,6vff,6vff7,6vff7e,0
49,1,1,7,2019-10-21,soja,PLANTIO SOJA,2020-02-10,soja,112.0,43,150,70,True,6,6vff,6vff7,6vff7k,0
49,1,1,6,2019-10-21,soja,PLANTIO SOJA,2020-02-05,soja,107.0,43,150,70,True,6,6vff,6vffh,6vffhr,0
49,1,1,87,2019-10-21,soja,PLANTIO SOJA,2020-02-10,soja,112.0,43,150,70,True,6,6vff,6vffg,6vffg8,0
49,1,1,2,2019-10-22,soja,PLANTIO SOJA,2020-02-10,soja,111.0,43,150,70,True,6,6vff,6vffk,6vffk1,0
49,1,1,1,2019-10-22,soja,PLANTIO SOJA,2020-02-19,soja,120.0,43,150,70,True,6,6vff,6vff5,6vff5z,0
49,1,1,88,2019-10-23,soja,PLANTIO SOJA,2020-02-17,soja,117.0,43,150,70,True,6,6vff,6vffg,6vffge,0
49,1,1,89,2019-10-24,soja,PLANTIO SOJA,2020-02-13,soja,112.0,43,150,70,True,6,6vff,6vffg,6vffgt,0
49,1,1,86,2019-10-25,soja,PLANTIO SOJA,2020-02-13,soja,111.0,43,150,70,True,6,6vff,6vffg,6vffgr,0
51,1,5,3,2019-10-25,soja,PLANTIO DE SOJA,2020-03-19,,146.0,43,150,70,True,6,6vzh,6vzhs,6vzhsj,0
49,1,1,57,2019-10-25,soja,PLANTIO SOJA,2020-02-22,soja,120.0,43,150,70,True,6,6vff,6vff5,6vff5z,0
49,1,1,54,2019-10-25,soja,PLANTIO SOJA,2020-02-22,soja,120.0,43,150,70,True,6,6vff,6vffh,6vffhp,0
49,1,1,80,2019-10-25,soja,PLANTIO SOJA,2020-02-15,soja,113.0,43,150,70,True,6,6vfg,6vfg5,6vfg50,0
49,1,1,58,2019-10-26,soja,PLANTIO SOJA,2020-02-24,soja,121.0,43,150,70,True,6,6vff,6vffk,6vffk7,0
49,1,1,72,2019-10-26,soja,PLANTIO SOJA,2020-02-05,soja,102.0,43,150,70,True,6,6vff,6vffc,6vffc1,0
49,1,1,74,2019-10-26,soja,PLANTIO SOJA,2020-02-05,soja,102.0,43,150,70,True,6,6vff,6vff8,6vff8x,0
49,1,1,56,2019-10-26,soja,PLANTIO SOJA,2020-02-23,soja,120.0,43,150,70,True,6,6vff,6vffh,6vffhq,0
49,1,1,59,2019-10-26,soja,PLANTIO SOJA,2020-02-23,soja,120.0,43,150,70,True,6,6vff,6vffk,6vffk1,0
