cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
2586000004,4,1,27873093000004,1,2,10,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-13,0,42,1,6,6tzu,6tzur,6tzurg
2586000004,4,1,27873093000004,1,2,10,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-22,9,43,1,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-10-30,17,44,1,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-11-08,26,45,1,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-11-21,39,47,1,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-12-02,50,49,1,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-12-04,52,49,1,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-12-18,66,51,1,6,6tzu,6tzur,6tzurg
2599000004,4,1,27873093000004,1,2,10,DESSECAÇÃO PARA COLHEITA,herbicida,2026-01-19,98,4,1,6,6tzu,6tzur,6tzurg
2586000004,4,1,27873093000004,1,2,10,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-22,0,43,2,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-10-30,8,44,2,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-11-08,17,45,2,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-11-21,30,47,2,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-12-02,41,49,2,6,6tzu,6tzur,6tzurg
2562000004,4,1,27873093000004,1,2,10,FUNGICIDA,fungicida,2025-12-04,43,49,2,6,6tzu,6tzur,6tzurg
2566000004,4,1,27873093000004,1,2,10,INSETICIDA,inseticida,2025-12-18,57,51,2,6,6tzu,6tzur,6tzurg
2599000004,4,1,27873093000004,1,2,10,DESSECAÇÃO PARA COLHEITA,herbicida,2026-01-19,89,4,2,6,6tzu,6tzur,6tzurg
2586000004,4,1,27873094000004,1,2,11,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-15,0,42,3,6,6tzu,6tzur,6tzurf
2586000004,4,1,27873094000004,1,2,11,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-23,8,43,3,6,6tzu,6tzur,6tzurf
2566000004,4,1,27873094000004,1,2,11,INSETICIDA,inseticida,2025-10-30,15,44,3,6,6tzu,6tzur,6tzurf
2562000004,4,1,27873094000004,1,2,11,FUNGICIDA,fungicida,2025-11-08,24,45,3,6,6tzu,6tzur,6tzurf
2562000004,4,1,27873094000004,1,2,11,FUNGICIDA,fungicida,2025-11-21,37,47,3,6,6tzu,6tzur,6tzurf
2562000004,4,1,27873094000004,1,2,11,FUNGICIDA,fungicida,2025-12-02,48,49,3,6,6tzu,6tzur,6tzurf
2566000004,4,1,27873094000004,1,2,11,INSETICIDA,inseticida,2025-12-20,66,51,3,6,6tzu,6tzur,6tzurf
2599000004,4,1,27873094000004,1,2,11,DESSECAÇÃO PARA COLHEITA,herbicida,2026-01-17,94,3,3,6,6tzu,6tzur,6tzurf
2586000004,4,1,27873094000004,1,2,11,PLANTIO DE SOJA COM BIOLOGICO,plantio,2025-10-23,0,43,4,6,6tzu,6tzur,6tzurf
